"ID(s) interactor A"	"ID(s) interactor B"	"Alt. ID(s) interactor A"	"Alt. ID(s) interactor B"	"Alias(es) interactor A"	"Alias(es) interactor B"	"Interaction detection method(s)"	"Publication 1st author(s)"	"Publication Identifier(s)"	"Taxid interactor A"	"Taxid interactor B"	"Interaction type(s)"	"Source database(s)"	"Interaction identifier(s)"	"Confidence value(s)"	"Experimental role(s) interactor A"	"Experimental role(s) interactor B"	"Properties interactor A"	"Properties interactor B"	"HostOrganism(s)"
uniprotkb:P04637	uniprotkb:P07900	uniprotkb:p53(gene name)	uniprotkb:HSP90AA1(gene name)	-	-	MI:0493(in vivo)|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:11507088|pubmed:15001357|pubmed:21268072|pubmed:12427754|pubmed:11507088|pubmed:11297531|pubmed:10557093	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0468(hprd)|(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)	HPRD_35367|BIOGRID_201766|BIOGRID_195901|BIOGRID_90112|BIOGRID_107493|BIOGRID_106052|BIOGRID_131697	-	-|prey|bait|bait|bait|bait|prey	-|bait|prey|prey|prey|prey|bait	go:GO:0005524|go:GO:0002326|go:GO:0006977|go:GO:0006978|go:GO:0000733|go:GO:0006983|go:GO:0016605|go:GO:0001077|go:GO:0001228|go:GO:0007265|go:GO:0033077|go:GO:0002360|go:GO:0002309|go:GO:0006284|go:GO:0007596|go:GO:0007050|go:GO:0030154|go:GO:0008283|go:GO:0034613|go:GO:0034644|go:GO:0035690|go:GO:0042149|go:GO:0071456|go:GO:0071479|go:GO:0007417|go:GO:0005678|go:GO:0003682|go:GO:0051276|go:GO:0005507|go:GO:0005737|go:GO:0005829|go:GO:0003684|go:GO:0008340|go:GO:0006302|go:GO:0005783|go:GO:0007369|go:GO:0035033|go:GO:0001701|go:GO:0006917|go:GO:0072332|go:GO:0042771|go:GO:0005739|go:GO:0071850|go:GO:0035264|go:GO:0008156|go:GO:0043066|go:GO:0030308|go:GO:0048147|go:GO:0051097|go:GO:0007406|go:GO:0000122|go:GO:0030512|go:GO:0051402|go:GO:0000790|go:GO:0016363|go:GO:0005730|go:GO:0006289|go:GO:0005634|go:GO:0090403|go:GO:0090343|go:GO:0031065|go:GO:2001244|go:GO:0043525|go:GO:0050731|go:GO:0032461|go:GO:2000379|go:GO:0090200|go:GO:0070245|go:GO:0045944|go:GO:0000060|go:GO:0008104|go:GO:0051262|go:GO:0009303|go:GO:0046902|go:GO:0001836|go:GO:0005657|go:GO:0090399|go:GO:0010165|go:GO:0046677|go:GO:0010332|go:GO:0009651|go:GO:0001756|go:GO:0044212|go:GO:0007179|go:GO:0019048|go:GO:0008270	go:GO:0005524|go:GO:0016887|go:GO:0000086|go:GO:0007411|go:GO:0051131|go:GO:0005829|go:GO:0042470|go:GO:0046209|go:GO:0030235|go:GO:0005886|go:GO:0045429|go:GO:0045040|go:GO:0042026|go:GO:0050999|go:GO:0006986|go:GO:0007165	-|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:O60260	uniprotkb:P68036	uniprotkb:PARK2(gene name)	uniprotkb:UBE2L3(gene name)	-	-	MI:0493(in vivo)	-	pubmed:11078524	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_11035	-	-	-	go:GO:0005794|go:GO:0016235|go:GO:0070842|go:GO:0007417|go:GO:0005829|go:GO:0005783|go:GO:0005739|go:GO:0000422|go:GO:0032232|go:GO:0043524|go:GO:0001933|go:GO:0090201|go:GO:0070997|go:GO:0005634|go:GO:0048471|go:GO:0043123|go:GO:0070936|go:GO:0070534|go:GO:0051865|go:GO:0006513|go:GO:0042787|go:GO:0010506|go:GO:2000377|go:GO:0004842|go:GO:0008270	go:GO:0005524|go:GO:0008283|go:GO:0071385|go:GO:0005737|go:GO:0005634|go:GO:0070979|go:GO:0007090|go:GO:0006355|go:GO:0003713|go:GO:0006351|go:GO:0000151|go:GO:0006511|go:GO:0004842	-
uniprotkb:Q5JWF2	uniprotkb:Q9NR28	uniprotkb:GNAS(gene name)	uniprotkb:DIABLO(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:16729033|pubmed:16729033|pubmed:11801603	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	(biogrid)|(biogrid)|(biogrid)	BIOGRID_116702|BIOGRID_116703|BIOGRID_204279	-	prey|prey|bait	bait|bait|prey	go:GO:0005525|go:GO:0003924|go:GO:0007191|go:GO:0005829|go:GO:0005834|go:GO:0046872|go:GO:0007606|go:GO:0004871	go:GO:0035631|go:GO:0008635|go:GO:0005829|go:GO:0008625|go:GO:0006917|go:GO:0009898|go:GO:0097193|go:GO:0005758	unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:P21583	uniprotkb:P49771	uniprotkb:KITLG(gene name)	uniprotkb:FLT3LG(gene name)	-	-	MI:0493(in vivo)	-	pubmed:9590652	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_3139	-	-	-	go:GO:0007155|go:GO:0008283|go:GO:0005737|go:GO:0005856|go:GO:0035162|go:GO:0005576|go:GO:0005615|go:GO:0035234|go:GO:0016021|go:GO:0008584|go:GO:0033026|go:GO:0001755|go:GO:0001541|go:GO:0005886|go:GO:0045740|go:GO:0043406|go:GO:0046579|go:GO:0070668|go:GO:0045636|go:GO:0002763|go:GO:0050731|go:GO:0007165	go:GO:0035162|go:GO:0005615|go:GO:0016021|go:GO:0005886|go:GO:0008284|go:GO:0007165	-
uniprotkb:O00411	uniprotkb:P51858	uniprotkb:POLRMT(gene name)	uniprotkb:HDGF(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)	-	pubmed:21907836|pubmed:21907836	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0914(association)	(biogrid)|MI:0469(intact)	BIOGRID_176706|IntAct_129102	-	prey|prey	bait|bait	go:GO:0003677|go:GO:0003899|go:GO:0042645|go:GO:0006391	go:GO:0003677|go:GO:0006987|go:GO:0008283|go:GO:0005737|go:GO:0005615|go:GO:0008201|go:GO:0005654|go:GO:0000166|go:GO:0006355|go:GO:0006351	unspecified:32644|human-293t:9606
uniprotkb:Q15287	uniprotkb:Q9Y3F4	uniprotkb:RNPS1(gene name)	uniprotkb:STRAP(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17353931|pubmed:17353931	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|MI:0469(intact)	BIOGRID_76629|IntAct_109243	-	bait|bait	prey|prey	go:GO:0005829|go:GO:0003730|go:GO:0031124|go:GO:0006406|go:GO:0000398|go:GO:0016607|go:GO:0000184|go:GO:0005654|go:GO:0000166|go:GO:0006369	go:GO:0008380|go:GO:0030054|go:GO:0005829|go:GO:0006397|go:GO:0005739|go:GO:0030512|go:GO:0005634|go:GO:0005886|go:GO:0005681|go:GO:0007179	unspecified:32644|human-293:9606
uniprotkb:Q14257	uniprotkb:Q15818	uniprotkb:RCN2(gene name)	uniprotkb:NPTX1(gene name)	-	-	MI:0493(in vivo)|MI:0493(in vivo)|MI:0493(in vivo)	-	pubmed:10748068|pubmed:9261167|pubmed:10748068	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|-|-	MI:0468(hprd)|MI:0468(hprd)|MI:0468(hprd)	HPRD_19929|HPRD_40521|HPRD_40520	-	-|-|-	-|-|-	go:GO:0005509|go:GO:0005783|go:GO:0005788	go:GO:0060385|go:GO:0007417|go:GO:0046872|go:GO:0007268|go:GO:0006810|go:GO:0030133	-|-|-
uniprotkb:P0CG48	uniprotkb:P39019	uniprotkb:UBC(gene name)	uniprotkb:RPS19(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:21906983|pubmed:22178446|pubmed:16196087|pubmed:21890473|pubmed:21139048	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)	BIOGRID_171208|BIOGRID_153178|BIOGRID_136056|BIOGRID_167182|BIOGRID_161758	-	bait|bait|bait|bait|bait	prey|prey|prey|prey|prey	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	go:GO:0003723|go:GO:0006614|go:GO:0022627|go:GO:0030218|go:GO:0015669|go:GO:0000184|go:GO:0005730|go:GO:0051272|go:GO:0006364|go:GO:0009991|go:GO:0042274|go:GO:0003735|go:GO:0006414|go:GO:0006413|go:GO:0006415|go:GO:0019083	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:P51532	uniprotkb:Q16594	uniprotkb:SMARCA4(gene name)	uniprotkb:TAF9(gene name)	-	-	MI:0034(display technology)	-	pubmed:20195357	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_135313	-	prey	bait	go:GO:0005524|go:GO:0010424|go:GO:0008094|go:GO:0000977|go:GO:0016514|go:GO:0071778|go:GO:0035887|go:GO:0001832|go:GO:0001835|go:GO:0000902|go:GO:0003682|go:GO:0006338|go:GO:0060318|go:GO:0035116|go:GO:0048562|go:GO:0048730|go:GO:0030198|go:GO:0030900|go:GO:0007403|go:GO:0060347|go:GO:0004386|go:GO:0000792|go:GO:0030902|go:GO:0043966|go:GO:0030216|go:GO:0001889|go:GO:0006346|go:GO:0071565|go:GO:0045749|go:GO:0060766|go:GO:0030308|go:GO:0000122|go:GO:0003407|go:GO:0071564|go:GO:0000790|go:GO:0005719|go:GO:0006337|go:GO:0005726|go:GO:0043923|go:GO:0043388|go:GO:0051091|go:GO:0045944|go:GO:0019827|go:GO:0003713|go:GO:0003714|go:GO:0006351|go:GO:0001570	go:GO:0071339|go:GO:0000125|go:GO:0030914|go:GO:0043966|go:GO:0043066|go:GO:0032435|go:GO:0030307|go:GO:0060760|go:GO:0045944|go:GO:0070761|go:GO:0006974|go:GO:0070555|go:GO:0003713|go:GO:0006368|go:GO:0005669|go:GO:0033276|go:GO:0006367|go:GO:0044212|go:GO:0016032	in vitro:-1
uniprotkb:O15347	uniprotkb:P0CG48	uniprotkb:HMGB3(gene name)	uniprotkb:UBC(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:21906983|pubmed:21139048|pubmed:21890473	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)|(biogrid)	BIOGRID_172857|BIOGRID_163543|BIOGRID_169949	-	prey|prey|prey	bait|bait|bait	go:GO:0008301|go:GO:0006310|go:GO:0005694|go:GO:0003690|go:GO:0007275|go:GO:0005634	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:Q92835	uniprotkb:Q99704	uniprotkb:INPP5D(gene name)	uniprotkb:DOK1(gene name)	-	-	MI:0493(in vivo)	-	pubmed:10822173	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_17649	-	-	-	go:GO:0050852|go:GO:0005884|go:GO:0006915|go:GO:0007596|go:GO:0030863|go:GO:0005829|go:GO:0008340|go:GO:0016064|go:GO:0030487|go:GO:0004445|go:GO:0035556|go:GO:0050900|go:GO:0030889|go:GO:0045779|go:GO:0050777|go:GO:0045409|go:GO:0045656|go:GO:0045659|go:GO:0045671|go:GO:0009968|go:GO:0006661|go:GO:0046854|go:GO:0034594|go:GO:0005886|go:GO:0045579|go:GO:0043065|go:GO:0045648|go:GO:0044281	go:GO:0007265|go:GO:0005829|go:GO:0008286|go:GO:0007243|go:GO:0048471|go:GO:0005543|go:GO:0005057	-
uniprotkb:P60520	uniprotkb:Q14151	uniprotkb:GABARAPL2(gene name)	uniprotkb:SAFB2(gene name)	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20562859	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_132808	-	bait	prey	go:GO:0000139|go:GO:0000421|go:GO:0006914|go:GO:0031410|go:GO:0005829|go:GO:0006891|go:GO:0032781|go:GO:0015031	go:GO:0003677|go:GO:0003723|go:GO:0005737|go:GO:0000166|go:GO:0005634|go:GO:0006355|go:GO:0006351	human-293t:9606
uniprotkb:Q13526	uniprotkb:Q96S55	uniprotkb:PIN1(gene name)	uniprotkb:WRNIP1(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:16055720	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_125854	-	bait	prey	go:GO:0007049|go:GO:0019221|go:GO:0005737|go:GO:0045087|go:GO:0030496|go:GO:0070373|go:GO:2000146|go:GO:0030512|go:GO:0032480|go:GO:0016607|go:GO:0005654|go:GO:0003755|go:GO:0032321|go:GO:0001934|go:GO:0051443|go:GO:0006457|go:GO:0042127|go:GO:0032465|go:GO:0007088|go:GO:0060393	go:GO:0005524|go:GO:0016887|go:GO:0003677|go:GO:0006260|go:GO:0000731|go:GO:0046872|go:GO:0005739|go:GO:0005634|go:GO:0048471|go:GO:0030174	unspecified:32644
uniprotkb:O60716	uniprotkb:Q9Y572	uniprotkb:CTNND1(gene name)	uniprotkb:RIPK3(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:21903422	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_149083	-	prey	bait	go:GO:0016055|go:GO:0034332|go:GO:0007155|go:GO:0034329|go:GO:0005913|go:GO:0016337|go:GO:0005911|go:GO:0005829|go:GO:0060690|go:GO:0030216|go:GO:0030027|go:GO:0030496|go:GO:0001738|go:GO:0090090|go:GO:0005634|go:GO:0005886|go:GO:0006355|go:GO:0007435|go:GO:0006351	go:GO:0005524|go:GO:0007249|go:GO:0004704|go:GO:0032147|go:GO:0005829|go:GO:0008624|go:GO:0045087|go:GO:0005739|go:GO:0005886|go:GO:0051092|go:GO:0060545|go:GO:0032481|go:GO:0051291|go:GO:0051260|go:GO:0004674|go:GO:0007165|go:GO:0003713	unspecified:32644
uniprotkb:Q15717	uniprotkb:Q7Z5L9	uniprotkb:ELAVL1(gene name)	uniprotkb:IRF2BP2(gene name)	-	-	MI:0096(pull down)	-	pubmed:19322201	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_181969	-	bait	prey	go:GO:0070935|go:GO:0017091|go:GO:0005829|go:GO:0010467|go:GO:0003729|go:GO:0016071|go:GO:0007275|go:GO:0005654|go:GO:0000166|go:GO:0045727	go:GO:0005737|go:GO:0046872|go:GO:0005634|go:GO:0006355|go:GO:0006351	unspecified:32644
uniprotkb:P12931	uniprotkb:Q9HCH5	uniprotkb:SRC(gene name)	uniprotkb:SYTL2(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:16051665	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_141838	-	bait	prey	go:GO:0005524|go:GO:0007265|go:GO:0031295|go:GO:0007411|go:GO:0045453|go:GO:0060444|go:GO:0005901|go:GO:0007155|go:GO:0007049|go:GO:0016044|go:GO:0071393|go:GO:0005856|go:GO:0005829|go:GO:0007173|go:GO:0008543|go:GO:0030900|go:GO:0020037|go:GO:0007243|go:GO:0005770|go:GO:0050900|go:GO:0005764|go:GO:0005743|go:GO:2000811|go:GO:2001237|go:GO:0051895|go:GO:2001243|go:GO:0048011|go:GO:0004715|go:GO:0005634|go:GO:0048477|go:GO:0018108|go:GO:0030168|go:GO:0090263|go:GO:0033625|go:GO:0050847|go:GO:0045124|go:GO:0033146|go:GO:0043114|go:GO:0070555|go:GO:0007172|go:GO:0060065|go:GO:0019048	go:GO:0005794|go:GO:0070382|go:GO:0019897|go:GO:0006886|go:GO:0042470|go:GO:0010923|go:GO:0005634|go:GO:0005546|go:GO:0001786|go:GO:0006904	unspecified:32644
uniprotkb:P84022	uniprotkb:Q5TA50	uniprotkb:SMAD3(gene name)	uniprotkb:GLTPD1(gene name)	-	-	MI:0018(two hybrid)	-	pubmed:21988832	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_127687	-	unspecified role	unspecified role	go:GO:0071141|go:GO:0007183|go:GO:0042110|go:GO:0006919|go:GO:0008633|go:GO:0007050|go:GO:0045216|go:GO:0031490|go:GO:0000987|go:GO:0005829|go:GO:0048589|go:GO:0003690|go:GO:0048701|go:GO:0048617|go:GO:0009880|go:GO:0007492|go:GO:0019049|go:GO:0001947|go:GO:0006955|go:GO:0002520|go:GO:0001701|go:GO:0006917|go:GO:0070306|go:GO:0001889|go:GO:0001707|go:GO:0043066|go:GO:0030308|go:GO:0050728|go:GO:0045930|go:GO:0045668|go:GO:0033689|go:GO:0042177|go:GO:0001933|go:GO:0000122|go:GO:0030512|go:GO:0061045|go:GO:0038092|go:GO:0005637|go:GO:0005654|go:GO:0002076|go:GO:0048340|go:GO:0060039|go:GO:0005886|go:GO:0010694|go:GO:0030501|go:GO:0090263|go:GO:0035413|go:GO:0030335|go:GO:0032332|go:GO:0010718|go:GO:0051894|go:GO:1901313|go:GO:0032731|go:GO:0050927|go:GO:0051496|go:GO:0042993|go:GO:0045944|go:GO:0032916|go:GO:0031053|go:GO:0050821|go:GO:0043235|go:GO:0051098|go:GO:0050678|go:GO:0050776|go:GO:0016202|go:GO:0032909|go:GO:0001836|go:GO:0001666|go:GO:0003700|go:GO:0001756|go:GO:0030878|go:GO:0005667|go:GO:0006367|go:GO:0060290|go:GO:0007179|go:GO:0030618|go:GO:0006810|go:GO:0001657|go:GO:0042060|go:GO:0008270	go:GO:0005737|go:GO:0051861|go:GO:0017089	yeasx:4932
uniprotkb:O75506	uniprotkb:Q00613	uniprotkb:HSBP1(gene name)	uniprotkb:HSF1(gene name)	-	-	MI:0492(in vitro)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:9649501|pubmed:9649501|pubmed:9649501	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0407(direct interaction)|MI:0915(physical association)	MI:0468(hprd)|(biogrid)|(biogrid)	HPRD_35440|BIOGRID_107516|BIOGRID_107515	-	-|prey|bait	-|bait|prey	go:GO:0005856|go:GO:0006936|go:GO:0000122|go:GO:0005634|go:GO:0003714	go:GO:0005737|go:GO:0001892|go:GO:0060136|go:GO:0008285|go:GO:0032720|go:GO:0005634|go:GO:0040018|go:GO:0045120|go:GO:0043234|go:GO:0006468|go:GO:0009408|go:GO:0032496|go:GO:0043565|go:GO:0003700|go:GO:0007283|go:GO:0006351	-|unspecified:32644|unspecified:32644
uniprotkb:Q14966	uniprotkb:Q9NRC8	uniprotkb:ZNF638(gene name)	uniprotkb:SIRT7(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:22586326	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_183588	-	prey	bait	go:GO:0003723|go:GO:0008380|go:GO:0005737|go:GO:0003690|go:GO:0016607|go:GO:0005654|go:GO:0000166|go:GO:0006355|go:GO:0006351|go:GO:0008270	go:GO:0070403|go:GO:0097372|go:GO:0003682|go:GO:0005737|go:GO:0070932|go:GO:0046872|go:GO:0000122|go:GO:0005731|go:GO:0007072|go:GO:0009303	unspecified:32644
uniprotkb:P05112	uniprotkb:Q14627	uniprotkb:IL4(gene name)	uniprotkb:IL13RA2(gene name)	-	-	MI:0492(in vitro)	-	pubmed:9130652	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_36596	-	-	-	go:GO:0031296|go:GO:0030183|go:GO:0002296|go:GO:0035745|go:GO:0045064|go:GO:0006968|go:GO:0071288|go:GO:0006935|go:GO:0008203|go:GO:0045189|go:GO:0097028|go:GO:0009897|go:GO:0005615|go:GO:0007565|go:GO:0002227|go:GO:2000320|go:GO:0002674|go:GO:0043066|go:GO:0002677|go:GO:0043031|go:GO:0045019|go:GO:0045671|go:GO:0045892|go:GO:0030890|go:GO:0045348|go:GO:0045582|go:GO:0042102|go:GO:0042104|go:GO:0045080|go:GO:0032733|go:GO:0032736|go:GO:0048295|go:GO:0048304|go:GO:0051091|go:GO:0045944|go:GO:0042523|go:GO:0042325|go:GO:0010155|go:GO:0034097|go:GO:0042493|go:GO:0045471|go:GO:0007584|go:GO:0014070	go:GO:0004896|go:GO:0005615|go:GO:0016021	-
uniprotkb:P15880	uniprotkb:Q92905	uniprotkb:RPS2(gene name)	uniprotkb:COPS5(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:21145461	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_199980	-	prey	bait	go:GO:0003723|go:GO:0006614|go:GO:0022627|go:GO:0000184|go:GO:0005654|go:GO:0003735|go:GO:0006414|go:GO:0006413|go:GO:0006415|go:GO:0019083	go:GO:0010388|go:GO:0005852|go:GO:0046872|go:GO:0008237|go:GO:0045944|go:GO:0006508|go:GO:0046328|go:GO:0051726|go:GO:0008180|go:GO:0003713|go:GO:0006366|go:GO:0003743	unspecified:32644
uniprotkb:Q02413	uniprotkb:Q9Y337	uniprotkb:DSG1(gene name)	uniprotkb:KLK5(gene name)	-	-	MI:0492(in vitro)	-	pubmed:15140227	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_29568	-	-	-	go:GO:0005509|go:GO:0016339|go:GO:0007043|go:GO:0006921|go:GO:0005829|go:GO:0030057|go:GO:0007156|go:GO:0016021|go:GO:0009898|go:GO:0050821|go:GO:0015643	go:GO:0097209|go:GO:0008544|go:GO:0005615|go:GO:0045745|go:GO:0006508|go:GO:0004252	-
uniprotkb:P0CG48	uniprotkb:Q5T7N3	uniprotkb:UBC(gene name)	uniprotkb:KANK4(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:20972266	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_157641	-	bait	prey	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	go:GO:0005737	unspecified:32644
uniprotkb:Q14145	uniprotkb:Q96CG1	uniprotkb:KEAP1(gene name)	uniprotkb:ETF1(gene name)	-	-	MI:0398(two hybrid pooling approach)|MI:0398(two hybrid pooling approach)	-	pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0469(intact)|MI:0469(intact)	IntAct_102797|IntAct_102126	-	unspecified role|unspecified role	unspecified role|unspecified role	go:GO:0005913|go:GO:0005813|go:GO:0042994|go:GO:0005783|go:GO:0005925|go:GO:0001701|go:GO:0030496|go:GO:0010629|go:GO:0005634|go:GO:0045604|go:GO:0006355|go:GO:0006351	go:GO:0005737|go:GO:0016149	yeasx:4932|yeasx:4932
